"時間戳記","What is your major? คณะของคุณคืออะไร ","Are you a non-native speaker of English? ภาษาอังกฤษไม่ใช่ภาษาแรกของคุณ ใช่หรือไม่","Age อายุ","Gender เพศ","What is your nationality? สัญชาติของคุณคือสัญชาติใด","1. While writing in English, I'm not nervous at all. ขณะที่เขียนภาษาอังกฤษ ฉันไม่กังวลหรือประหม่าเลย","2. I feel my heart pounding when I write English compositions under time
constraint. ฉันรู้สึกใจเต้นเวลาฉันเขียนงานเป็นภาษาอังกฤษภายใต้ข้อจำกัดด้านเวลา","3. While writing English compositions, I feel worried and uneasy if I know they 
will be evaluated. ในขณะที่เขียนงานภาษาอังกฤษ ฉันรู้สึกกังวลใจและไม่สบายใจ ถ้าฉันรู้ว่างานของฉันจะถูกประเมิน","4. I often choose to write down my thoughts in English. ฉันมักจะเลือกเขียนความคิดของฉันเป็นภาษาอังกฤษ","5. I usually do my best to avoid writing English compositions. บ่อยครั้ง ฉันหลีกเลี่ยงการเขียนงานภาษาอังกฤษได้อย่างดี","6. My mind often goes blank when I start to work on an English composition ฉันมักจะคิดอะไรไม่ออกเวลาเริ่มเขียนงานภาษาอังกฤษ","7. I don’t worry that my English compositions are a lot worse than others’ ฉันไม่กังวลว่างานเขียนภาษาอังกฤษของฉัน แย่กว่าของคนอื่นเป็นอย่างมาก","8. I tremble or perspire when I write English compositions under time pressure ฉันตัวสั่นและเหงื่อออกเวลาเขียนงานภาษาอังกฤษภายใต้การกดดันของเวลา","9. If my English composition is to be evaluated, I would worry about getting a very poor grade. ถ้างานภาษาอังกฤษของฉันจะถูกประเมิน ฉันจะกังวลว่าจะได้เกรดไม่ดี","10. I do my best to avoid situations in which I have to write in English ฉันทำอย่างเต็มที่เพื่อจะหลีกเลี่ยงสถานการณ์ที่จะต้องเขียนงานภาษาอังกฤษ","11.My thoughts become jumbled when I write English compositions under time constraint. ความคิดของฉัน จะสับสนเวลาเขียนงานภาษาอังกฤษภายใต้เวลาจำกัด","12.Unless I have no choice, I would not use English to write composition ฉันจะไม่ใช้ภาษาอังกฤษเพื่อเขียนงานยกเว้นถ้าฉันไม่มีทางเลือก","13. I often feel panic when I write English compositions under time constraint. ฉันมักจะตื่นตกใจเวลาฉันเขียนงานภาษาอังกฤษภายใต้เวลาจำกัด","14. I’m afraid that other students would deride my English composition if they read it. ฉันกลัวว่านักเรียนคนอื่นจะดูถูกงานภาษาอังกฤษของฉันถ้าพวกเขาได้อ่าน","15. I freeze up when unexpectedly asked to write English compositions. ฉันหยุดนิ่งเวลาคนถามให้เขียนงานภาษาอังกฤษอย่างไม่ทันตั้งตัว","16. I would do my best to excuse myself if asked to write English compositions. ฉันจะทำฉันจะทำเต็มที่ ในการแก้ต่างให้ตัวเองเวลาถูกถามให้เขียนงานภาษาอังกฤษ","17. I don’t worry at all about what other people would think of my English
compositions. ฉันไม่กังวลใดใดเลยว่าคนอื่นจะคิดยังไงเกี่ยวกับงานภาษาอังกฤษของฉัน","18. I usually seek every possible chance to write English compositions outside of
class. บ่อยครั้งที่ฉันจะหาทุกโอกาสที่เป็นไปได้เพื่อที่จะได้เขียนงานภาษาอังกฤษนอกห้องเรียน","19. I usually feel my whole body rigid and tense when I write English compositions. บ่อยครั้งที่ฉันรู้สึกร่างกายแข็งทื่อและเกร็งเวลาเขียนงานภาษาอังกฤษ ","20. I’m afraid of my English composition being chosen as a sample to be discussed in class. ฉันกลัวว่างานภาษาอังกฤษของฉันจะถูกเลือกให้เป็นตัวอย่างในการพูดคุยหารือในห้อง","21. I’m not afraid at all that my English compositions would be rated as very poor. ฉันไม่กลัวใดใดเลยว่างานภาษาอังกฤษของฉันจะถูกให้คะแนนต่ำมากๆ","22. Whenever possible, I would use English to write compositions. ตอนไหนก็ตามที่เป็นไปได้ฉันจะใช้ภาษาอังกฤษในการเขียนงาน","1. When I write English essays,  I worry about the negative comments and evaluation of the teacher. เวลาฉันเขียนเรียงความภาษาอังกฤษ ฉันกังวลเกี่ยวกับคอมเม้นต์และการประเมินในเชิงลบจากคุณครู","2. I'm afraid of writing tests. ฉันกลัวการเขียนข้อสอบ","3. When I write English essays,  I have lack of sufficient English writing practice which makes me feel anxious. เวลาฉันเขียนเรียงความภาษาอังกฤษ ฉันขาดการฝึกฝนด้านการเขียนภาษาอังกฤษที่จำเป็น ซึ่งทำให้รู้สึกกังวล","4. When I write English essays, I don’t have a good command of English writing techniques which makes me feel anxious. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันไม่มีเทคนิคที่ดีในการเขียนภาษาอังกฤษซึ่งทำให้ฉันกังวล","5. When I write English essays,  I don’t know what to write on the topic given by the teacher so I feel upset. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันไม่รู้ว่าจะเขียนอะไรของหัวข้อที่ถูกให้มาโดยคุณครู ฉันเลยรู้สึกไม่ดี","6. When I write English essays, I often encounter some linguistic problems such as inadequate mastery of vocabulary, sentence structures, grammatical errors, etc. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันมักจะเจอปัญหาด้านภาษาศาสตร์ อย่างเช่น ด้อยเรื่องความเชี่ยวชาญด้านคำศัพท์ โครงสร้างของประโยค ข้อผิดพลาดทางไวยากรณ์และอื่นๆ","7. When I write English essays,  I’m under pressure to offer a perfect work which makes me upset. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันอยู่ภายใต้ความกดดันที่จะต้องมอบงานที่สมบูรณ์แบบ ซึ่งทำให้ฉันรู้สึกไม่ดี","8. When I write English essays,  I feel anxious due to the high frequency of writing assignments. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันรู้สึกกังวล เนื่องจากมีงานเขียนอย่างต่อเนื่อง","9. When I write English essays,  I feel worry when I have to write under time constraints. เวลาฉันเขียนเรียงความภาษาอังกฤษ ฉันรู้สึกกังวลเวลาฉันต้องเขียนภายใต้เวลาจำกัด","10. When I write English essays, I have a low-confidence in English writing. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันมีความมั่นใจน้อยในการเขียนภาษาอังกฤษ"
"2024/12/17 8:19:41 上午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","Under 20 ต่ำกว่า 20","Female หญิง","Thai ไทย","Neutral","Strongly agree","Agree","Strongly agree","Strongly Disagree","Agree","Disagree","Neutral","Strongly agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Neutral","Neutral","Strongly Disagree","Neutral","Strongly agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly agree","Agree","Neutral","Neutral","Neutral","Neutral","Strongly agree","Strongly agree","Agree","Strongly agree","Agree"
"2024/12/17 8:19:59 上午 GMT+7","English for Applied Global Communication (AGC)","No ไม่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","South African ","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Strongly Disagree"
"2024/12/17 8:20:52 上午 GMT+7","English for Applied Global Communication (AGC)","No ไม่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Chinese จีน","Disagree","Agree","Agree","Disagree","Neutral","Agree","Disagree","Agree","Agree","Disagree","Neutral","Disagree","Disagree","Neutral","Disagree","Strongly agree","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Neutral"
"2024/12/17 8:27:39 上午 GMT+7","IT (Information Technology)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Agree","Disagree","Disagree","Neutral","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Strongly agree","Neutral","Agree","Neutral","Agree","Disagree","Agree","Disagree","Disagree","Neutral","Agree","Neutral","Neutral","Strongly agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Strongly agree","Agree"
"2024/12/17 8:27:54 上午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 30 to 39 จาก 30 ไปถึง 39","Male ชาย","Vietnamese","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree"
"2024/12/17 10:25:38 上午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Neutral","Agree","Neutral","Disagree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral"
"2024/12/17 10:26:39 上午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Chinese จีน","Neutral","Agree","Agree","Disagree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Disagree","Agree","Disagree","Neutral","Neutral","Agree","Disagree","Agree"
"2024/12/17 10:27:38 上午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Agree","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Strongly Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Neutral","Disagree","Neutral","Neutral","Strongly agree","Neutral","Strongly agree","Neutral","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree"
"2024/12/17 10:29:43 上午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Burmese พม่า","Strongly disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"2024/12/17 10:35:05 上午 GMT+7","International Hospitality Management (IHM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Neutral","Neutral","Agree","Neutral","Disagree","Agree","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Strongly Disagree","Agree","Disagree","Agree","Strongly agree","Neutral","Neutral","Agree","Disagree"
"2024/12/17 10:35:19 上午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Strongly agree","Neutral","Neutral","Strongly agree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Strongly agree","Neutral","Disagree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Disagree"
"2024/12/17 10:35:25 上午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Agree","Neutral","Agree","Strongly agree","Strongly Disagree","Disagree","Agree","Disagree","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Neutral","Disagree","Disagree","Agree","Neutral","Agree","Agree","Agree","Strongly Disagree"
"2024/12/17 11:03:12 上午 GMT+7","Accounting","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Agree","Strongly Disagree","Neutral","Strongly agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2024/12/17 12:06:57 下午 GMT+7","International Business Management (IBM)","Yes ใช่","Under 20 ต่ำกว่า 20","Female หญิง","Thai ไทย","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Disagree","Agree","Neutral","Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Agree","Neutral","Neutral","Neutral"
"2024/12/17 12:43:55 下午 GMT+7","IT (Information Technology)","No ไม่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Strongly agree","Disagree","Agree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Neutral","Strongly Disagree","Disagree","Strongly agree","Strongly agree","Agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree"
"2024/12/17 12:51:09 下午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","Under 20 ต่ำกว่า 20","Female หญิง","Thai ไทย","Neutral","Agree","Neutral","Agree","Disagree","Strongly Disagree","Neutral","Disagree","Neutral","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Disagree","Neutral","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree"
"2024/12/17 1:14:37 下午 GMT+7","MBA","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Chinese จีน","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral"
"2024/12/17 1:16:09 下午 GMT+7","CMD (Creative Media Design)","Yes ใช่","Under 20 ต่ำกว่า 20","Female หญิง","Thai ไทย","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly Disagree","Neutral","Agree","Agree","Neutral","Strongly Disagree","Agree","Agree","Neutral","Neutral","Disagree","Strongly Disagree","Disagree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Neutral"
"2024/12/17 1:29:37 下午 GMT+7","MPE (Creative Media Production and Entertainment)","No ไม่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Greek","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Disagree","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Agree","Neutral","Strongly agree","Agree","Disagree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Agree","Agree","Disagree"
